,umap1,umap2,umap3,time
E0_32,-3.4386852,9.083,6.4604278,0.03203203203203203
E1_619,11.85411,1.8158542,1.9863881,0.6196196196196196
E2_128,-3.618577,2.7432916,4.2187533,0.12812812812812813
E3_43,-1.7949412,9.724053,5.536992,0.043043043043043044
E4_118,2.9026144,8.906404,0.6081556,0.11811811811811812
E5_773,12.367831,-2.2795718,7.09067,0.7737737737737738
E6_867,11.748524,1.09461,9.582487,0.8678678678678678
E7_808,12.397942,-0.35466594,6.038165,0.8088088088088088
E8_939,9.923686,6.616302,7.147839,0.93993993993994
E9_6,-0.8843892,10.492342,7.142566,0.006006006006006006
E10_823,11.136933,4.422361,5.0412607,0.8238238238238238
E11_469,-3.5868423,2.6659417,3.7079337,0.4694694694694695
E12_595,12.036927,1.1297714,0.22233286,0.5955955955955956
E13_709,12.051323,1.809422,5.6292667,0.7097097097097097
E14_273,9.573894,6.470634,3.1075685,0.2732732732732733
E15_353,10.128317,4.0712094,-0.6278454,0.3533533533533533
E16_530,12.24912,0.78213316,4.4663067,0.5305305305305306
E17_137,1.4334502,8.848782,2.1127687,0.13713713713713713
E18_797,12.288012,0.3304888,6.6651926,0.7977977977977978
E19_429,11.928752,2.2752566,5.293739,0.4294294294294294
E20_60,-3.7755394,8.437061,6.570032,0.06006006006006006
E21_699,12.396176,-0.325499,5.8788586,0.6996996996996997
E22_943,12.163293,-1.903161,8.166055,0.943943943943944
E23_366,12.211956,0.25885233,7.504384,0.3663663663663664
E24_10,-1.6100477,9.772337,6.6183286,0.01001001001001001
E25_542,12.20476,0.94622564,4.331378,0.5425425425425425
E26_817,-3.795956,1.2353665,3.4781268,0.8178178178178178
E27_651,11.809433,1.6896867,0.5242845,0.6516516516516516
E28_101,2.0408807,9.149562,1.2880149,0.1011011011011011
E29_324,12.300819,0.65882504,5.7371745,0.32432432432432434
E30_952,10.149706,5.7043576,9.265742,0.9529529529529529
E31_975,10.4001,5.9276476,5.461851,0.975975975975976
E32_213,10.890814,3.4452915,0.48614958,0.2132132132132132
E33_611,10.925353,4.6291976,4.0526247,0.6116116116116116
E34_315,11.91678,1.670547,0.669375,0.3153153153153153
E35_451,-4.3837047,1.8799907,3.7111852,0.45145145145145144
E36_36,-3.7490914,8.468805,6.597832,0.036036036036036036
E37_567,9.133283,7.8996916,5.2626553,0.5675675675675675
E38_51,-3.946492,8.248724,6.659958,0.05105105105105105
E39_923,8.72266,6.9783945,2.2510853,0.923923923923924
E40_455,12.378268,-2.7762089,6.8943,0.45545545545545546
E41_641,10.226665,5.3173532,2.4824038,0.6416416416416416
E42_350,-3.5088785,0.92462707,3.9743364,0.35035035035035034
E43_915,11.022195,3.1314666,0.14749558,0.9159159159159159
E44_106,-2.3601289,6.094021,4.79228,0.1061061061061061
E45_234,-3.36741,1.1382793,4.720984,0.23423423423423423
E46_349,11.88099,2.3202655,4.759197,0.34934934934934936
E47_24,-2.3319175,9.493444,6.3405385,0.024024024024024024
E48_611,10.026931,4.456629,-0.11022228,0.6116116116116116
E49_668,11.141177,3.2896597,9.877128,0.6686686686686687
E50_833,10.801614,4.7737193,3.7644203,0.8338338338338338
E51_347,10.748144,5.0431066,4.216319,0.34734734734734735
E52_890,12.477908,-1.3391483,5.5395846,0.8908908908908909
E53_682,10.348475,6.051312,5.9594154,0.6826826826826827
E54_888,12.266243,0.8082161,5.2366858,0.8888888888888888
E55_576,-3.8924503,0.67040193,4.436903,0.5765765765765766
E56_457,12.214842,0.7572771,1.6446441,0.4574574574574575
E57_147,1.6269763,8.521258,1.2123835,0.14714714714714713
E58_310,11.585549,2.3463006,1.4665163,0.3103103103103103
E59_326,12.357275,0.3970447,2.286825,0.3263263263263263
E60_256,1.4668945,8.7166395,2.1250408,0.25625625625625625
E61_438,12.469331,-0.16635256,0.60076547,0.43843843843843844
E62_239,10.154134,5.951272,8.638665,0.23923923923923923
E63_378,11.270987,4.2571716,6.2794247,0.3783783783783784
E64_15,-1.178853,10.040228,6.6610765,0.015015015015015015
E65_362,11.198495,2.689671,-0.39927146,0.36236236236236236
E66_328,10.677096,3.5001576,-0.3804274,0.3283283283283283
E67_656,10.682834,5.4284344,7.3842735,0.6566566566566566
E68_731,11.849115,2.2184143,3.8757112,0.7317317317317318
E69_448,11.168431,3.2241597,1.3697863,0.44844844844844844
E70_189,10.721665,5.435657,6.789459,0.1891891891891892
E71_178,1.6229213,8.531446,1.2483554,0.1781781781781782
E72_865,11.0663395,4.6865034,7.2677197,0.8658658658658659
E73_747,11.595101,2.7758307,3.118178,0.7477477477477478
E74_587,-4.5658746,1.0508971,4.361341,0.5875875875875876
E75_982,12.193117,-0.2434934,7.790703,0.982982982982983
E76_505,-3.2800553,0.9546023,4.9152656,0.5055055055055055
E77_662,9.826067,6.56858,4.3269014,0.6626626626626627
E78_267,11.063025,2.7322855,-0.67583823,0.2672672672672673
E79_480,11.0235195,2.6133776,10.618244,0.4804804804804805
E80_557,11.190213,3.1409078,1.1931342,0.5575575575575575
E81_866,11.92444,2.34535,6.3656774,0.8668668668668669
E82_76,-0.5289394,8.971339,3.9733636,0.07607607607607608
E83_322,10.633636,4.0743146,1.144998,0.32232232232232233
E84_538,-2.541962,2.167211,5.150903,0.5385385385385385
E85_471,9.949422,4.3121543,-0.527472,0.47147147147147145
E86_207,4.8362875,8.33295,0.33240372,0.2072072072072072
E87_906,12.462049,-1.4712515,5.871712,0.9069069069069069
E88_262,-2.5553586,2.873305,4.208038,0.26226226226226224
E89_141,-2.804934,1.9536512,5.1938043,0.14114114114114115
E90_161,2.9206274,8.753768,0.1505761,0.16116116116116116
E91_629,11.555763,2.777614,9.238269,0.6296296296296297
E92_725,9.482767,6.3668017,2.6379113,0.7257257257257257
E93_6,-0.9661216,10.372683,7.029993,0.006006006006006006
E94_854,12.447585,-1.1291884,5.587368,0.8548548548548549
E95_199,-2.4813304,2.1094732,3.56756,0.1991991991991992
E96_709,11.943867,-0.6624221,9.0753,0.7097097097097097
E97_748,11.729095,1.9998498,1.1169883,0.7487487487487487
E98_876,-3.171326,3.0630195,5.1247764,0.8768768768768769
