,tsne1,tsne2,time
E0_531,5.380077,42.98187,0.6645807259073843
E1_328,-34.960644,-4.034492,0.41051314142678347
E2_122,36.771217,-12.819608,0.15269086357947434
E3_7,59.652325,30.09523,0.008760951188986232
E4_331,2.9487848,-37.39278,0.4142678347934919
E5_277,8.993528,-37.47443,0.34668335419274093
E6_674,3.196645,-61.723907,0.8435544430538173
E7_261,-8.590966,-15.379859,0.32665832290362956
E8_327,-36.840897,13.883725,0.409261576971214
E9_692,-2.8908625,55.114998,0.8660826032540676
E10_617,-12.62759,34.430763,0.772215269086358
E11_479,-12.67772,29.492397,0.5994993742177722
E12_332,-29.956867,-1.6804192,0.41551939924906134
E13_397,-41.0607,14.294506,0.49687108886107634
E14_610,-6.4098372,48.735977,0.7634543178973717
E15_425,2.7587652,-60.20891,0.5319148936170213
E16_504,-17.013432,-62.644783,0.6307884856070087
E17_783,2.898017,-65.96784,0.9799749687108886
E18_175,13.649555,-12.831694,0.2190237797246558
E19_558,-29.149916,24.605854,0.6983729662077597
E20_274,-11.861329,-11.312379,0.3429286608260325
E21_430,-29.746164,-4.561807,0.5381727158948686
E22_182,9.732409,-20.82713,0.22778473091364204
E23_449,-41.496708,16.271854,0.5619524405506884
E24_124,32.215656,-9.849384,0.15519399249061328
E25_655,-6.507007,-72.21054,0.8197747183979975
E26_79,51.59156,6.5643454,0.09887359198998748
E27_250,-37.8644,2.2744737,0.31289111389236546
E28_777,-16.626278,45.22565,0.9724655819774718
E29_118,21.510662,-6.2905035,0.1476846057571965
E30_798,-15.466343,55.115826,0.9987484355444305
E31_52,58.785847,13.830506,0.06508135168961202
E32_272,-23.83571,0.95738566,0.3404255319148936
E33_620,4.306197,57.718082,0.7759699624530664
E34_791,7.9698906,41.224373,0.9899874843554443
E35_196,-8.3721075,-10.299408,0.2453066332916145
E36_342,-41.67103,14.779365,0.42803504380475593
E37_232,-7.2533045,-13.135476,0.2903629536921151
E38_752,1.9193342,52.147686,0.9411764705882353
E39_218,2.210075,-11.3018055,0.27284105131414266
E40_285,-1.5368907,-53.36386,0.3566958698372966
E41_605,-12.057479,48.574093,0.7571964956195244
E42_599,-11.769257,36.330788,0.7496871088861077
E43_113,33.912388,-5.4775085,0.1414267834793492
E44_576,-2.808129,59.083275,0.72090112640801
E45_696,-2.4447744,-56.388344,0.8710888610763454
E46_688,-4.3599806,-51.175648,0.8610763454317898
E47_379,-29.052212,-0.7563438,0.47434292866082606
E48_289,-21.836393,-3.2694204,0.3617021276595745
E49_230,-7.7652197,-8.916138,0.2878598247809762
E50_146,25.095167,-6.6612906,0.18272841051314143
E51_146,30.410906,-5.0469465,0.18272841051314143
E52_68,48.384068,1.4604737,0.0851063829787234
E53_172,31.57921,-5.5117974,0.21526908635794745
E54_691,-4.7949343,-54.365368,0.8648310387984981
E55_611,14.617495,39.4631,0.7647058823529411
E56_162,27.497927,-15.851024,0.20275344180225283
E57_301,-25.866669,-5.8378396,0.376720901126408
E58_470,-18.532185,-55.02793,0.5882352941176471
E59_112,45.97546,-1.4134678,0.14017521902377972
E60_573,11.035154,40.249294,0.7171464330413017
E61_212,1.8733106,-12.70039,0.26533166458072593
E62_201,16.079727,-3.5318303,0.25156445556946183
E63_312,2.1506753,-18.454765,0.3904881101376721
E64_659,-2.1279864,-63.4526,0.8247809762202754
E65_507,-18.685892,37.39227,0.6345431789737171
E66_295,-17.24158,-6.3356924,0.3692115143929912
E67_232,7.1646767,-36.36454,0.2903629536921151
E68_280,-8.682803,-11.279261,0.3504380475594493
E69_10,60.03038,27.235395,0.012515644555694618
E70_658,7.1476083,42.259792,0.8235294117647058
E71_265,10.756066,-30.500126,0.3316645807259074
E72_639,0.5447627,40.23166,0.799749687108886
E73_626,-18.694586,49.488613,0.7834793491864831
E74_661,6.2958407,45.064613,0.8272841051314143
E75_157,38.47425,-10.733051,0.1964956195244055
E76_765,-2.5750017,54.692017,0.9574468085106383
E77_536,10.904892,40.202217,0.6708385481852316
E78_765,-10.46056,52.617764,0.9574468085106383
E79_330,-28.85769,0.24208349,0.4130162703379224
E80_182,-7.990366,1.9544406,0.22778473091364204
E81_154,34.582573,-3.7652373,0.1927409261576971
E82_214,7.9121895,-24.997774,0.26783479349186484
E83_259,-9.790209,-12.878064,0.3241551939924906
E84_583,-8.538583,-41.317158,0.7296620775969962
E85_22,59.3079,21.017849,0.02753441802252816
E86_693,-1.254864,-43.27828,0.867334167709637
E87_372,-35.259827,9.000996,0.4655819774718398
E88_18,59.980976,23.380075,0.02252816020025031
E89_359,-5.610267,-64.05091,0.4493116395494368
E90_613,-22.462162,-50.061596,0.7672090112640801
E91_30,63.011116,9.915994,0.03754693366708386
E92_169,19.158192,-2.9937704,0.21151439299123906
E93_244,-7.7450933,-8.132246,0.3053817271589487
E94_450,-5.742276,63.497643,0.5632040050062578
E95_361,-43.264236,15.321745,0.4518147684605757
E96_648,9.646693,47.30934,0.8110137672090113
E97_325,9.840487,-35.16195,0.4067584480600751
E98_326,-18.586271,-4.0700126,0.40801001251564456
E99_775,-2.0359309,61.71526,0.9699624530663329
